transaction_id,timestamp,block_number,sender,receiver,amount,gas_price,gas_used,transaction_fee,transaction_type,status,day_of_week,hour_of_day,nonce,sender_type,receiver_type
16,2023-06-14T07:19:59Z,10000472,0x40a5705727d5028bf168c413a24793e9fb1d4b3a,0x1d07400d5faab708149551c515895c18713393f4,41.06,62,46541,0.0029,token transfer,success,Wednesday,7,106,EOA,EOA
17,2023-11-21T01:05:18Z,10000046,0x2d6ae56d80699275575d357df6d175d678a5a722,0xd1f42c3fd20ebfae3614ab8f3a4e298e1c274b9c,5.19,149,27317,0.0041,transfer,success,Tuesday,1,245,EOA,EOA
18,2023-04-12T09:06:21Z,10000489,0x22e06bf7f66180f634691948d547d400093cc34b,0xf08d918ef9db7da0d21852a75aca77df41177bf3,71.85,89,91077,0.0081,token transfer,success,Wednesday,9,130,EOA,EOA
19,2023-02-09T13:22:43Z,10000404,0x54d68e07f4454ae69ad3a8c6e7bf103cdcceade4,0xd3d264a57590ffe74323788d75b103e956c3b8e0,73.94,131,37306,0.0049,transfer,success,Thursday,13,679,EOA,EOA
20,2023-05-19T00:27:49Z,10000123,0x4ef00cc9a0d8b8eca0cb264bbd898155cc6f4db5,0xf7d6233913457ab74391c32fce61193e0267ef4f,37.15,162,47922,0.0078,token transfer,success,Friday,0,958,EOA,EOA
21,2023-08-28T07:50:04Z,10000332,0x09232a978b7590bb37b99162982bc7e7f5a120d7,0xc58a16f17dbf46c6f1c6ec8203a3d98092acaee4,26.43,76,21215,0.0016,token transfer,success,Monday,7,922,EOA,EOA
22,2023-01-05T20:46:44Z,10000427,0x9c4a73b56de1c8c29de636c11d16ee84747b9946,0x3d274ad183b216a418a52be6e808228071579e66,4.11,193,99991,0.0193,token transfer,success,Thursday,20,927,Contract,EOA
23,2023-12-07T22:17:16Z,10000500,0x79339761b5b9974fdd8346a7d904e4095249254b,0x261566f047ad174479021f9bd8599267a889698e,30.04,141,36391,0.0051,token transfer,success,Thursday,22,636,EOA,EOA
24,2023-08-20T18:51:34Z,10000299,0xb223dd94a65d2859805aca02bd7eecdfe17e723b,0xa901267d82f20d305cb1b6afecd18929924fcd8a,96.2,169,82867,0.014,token transfer,success,Sunday,18,595,EOA,EOA
25,2023-03-31T03:52:48Z,10000183,0x0331dc5a145b9af1daa5da561a516d0e0bde7757,0xf56fd008b672385f5643f795434294245c681b20,70.21,20,34894,0.0007,contract creation,success,Friday,3,87,EOA,Contract
26,2023-06-26T06:06:45Z,10000429,0x702a9ed98add804b052f2bff3a3fa2922cadc528,0x2e84d49c5b9055cd94a157108183c7d7ffdf9f81,41.47,86,58166,0.005,transfer,success,Monday,6,498,EOA,EOA
27,2023-02-03T18:40:36Z,10000229,0x8eb668ec216f4e8a9251ac36f52c2875d177fddc,0x270969b2b47bc881ca40a4adb23ce49d82640420,99.44,116,47304,0.0055,transfer,success,Friday,18,990,EOA,EOA
28,2023-03-22T14:43:40Z,10000118,0xcfb12460cb2965f2afe6e25b3cd9a6dfd514e5fe,0x4a123b11c65f611377301c6ec2a9ecda32ce1e9f,71.18,121,56001,0.0068,transfer,success,Wednesday,14,220,EOA,EOA
29,2023-10-01T16:55:10Z,10000138,0xab9bbeafb82e3e2f3991d01e65ceb2a5fb3ba350,0x40effda12e0c04f9e5b725450e50e8b70a7246ac,96.67,152,38480,0.0058,transfer,success,Sunday,16,447,EOA,EOA
30,2023-04-12T08:10:33Z,10000193,0xc1d567154242ed06e2f150c74c2b2cda6ab8e512,0x09cfdcc3d23a71c64640b02f07cde95e0289e03a,57.32,120,39982,0.0048,token transfer,success,Wednesday,8,749,EOA,EOA
31,2023-07-30T17:43:56Z,10000006,0x089ba8e14a9d577e82bfb40389ec41f81024a374,0xe1583c6e237ddb44a520eca84208216b3ab71578,98.97,116,45279,0.0053,transfer,success,Sunday,17,601,EOA,EOA
32,2023-02-26T14:45:50Z,10000123,0x1242231b5fe85470b23059064e53bfd267d89349,0x8cd1d2df9731a70c4bde601d4b06d1584aa3a90b,21.19,80,78689,0.0063,contract creation,success,Sunday,14,984,Contract,EOA
33,2023-04-25T04:40:21Z,10000036,0xae2f9fd7f148503d980c3863f598e994f2e6ec62,0x044d2a753330c8aeb63d3246dff461a140862f05,80.65,92,58946,0.0054,contract creation,success,Tuesday,4,272,Contract,EOA
34,2023-05-05T00:12:32Z,10000147,0xb94b2d6d1fa3cebd14ee5f4f4d4259fd1687c5cd,0x44d3252b8ac0f8727a096e79fed7b501acf5ec6c,70.91,102,57504,0.0059,contract creation,success,Friday,0,648,EOA,EOA
35,2023-02-06T04:19:37Z,10000325,0x5b9becbf9676355e1ca5310370cc09140d08d381,0xa55fee7b486e8167c3bc905917086ca5da0e9672,83.58,178,55113,0.0098,token transfer,success,Monday,4,162,EOA,EOA
36,2023-05-05T04:34:55Z,10000409,0x16352f4e35da60689af21afbf7388fc60c5c3990,0xa217bf49d4a8a6e8ee6a570241165e7f09d5ef59,58.09,125,91291,0.0114,contract creation,success,Friday,4,756,EOA,EOA
37,2023-12-21T08:49:52Z,10000424,0xb89a498990a50df3f948acbca7c70f7e7bc9c151,0x653bae6f3601cd777a37b834d4809fb9fc370029,29.57,37,90036,0.0033,contract creation,failure,Thursday,8,731,EOA,EOA
38,2023-01-11T06:30:37Z,10000411,0x1919d56ae56c89e9a7be077fe179ef7f14f99ca1,0xca9d867ad0b890e41a4172f60ecfd3e8a676b177,67.05,95,68548,0.0065,transfer,success,Wednesday,6,495,EOA,EOA
39,2023-03-10T02:20:49Z,10000084,0xffa458f86e47c90ffe760ebc1ef5dde3f3ca64da,0xb67170d040351b2edf94715867e4b5aa7a533a91,15.04,116,36680,0.0043,token transfer,failure,Friday,2,793,EOA,EOA
40,2023-06-16T16:38:42Z,10000181,0x020656511686da5942c8cea564e3b702d20f945c,0x71d1209442d04291e2d9a3c7186c58f66f0edc53,10.35,159,47295,0.0075,token transfer,failure,Friday,16,407,EOA,EOA
41,2023-05-28T02:51:42Z,10000086,0xf42be200dd99ea72a38fd2a2abbf7c8057749c21,0x9dead2a019273a6358ae2b91bad56241549cb538,4.85,81,62237,0.005,transfer,success,Sunday,2,151,EOA,EOA
42,2023-11-04T06:43:18Z,10000228,0x72524ae2cab7521dfff7a5ca782256b7108b5e42,0xd07ca5b0d52967d11120c6f28ba632c4f24c4156,79.84,28,72955,0.002,token transfer,success,Saturday,6,443,Contract,EOA
43,2023-11-03T11:16:45Z,10000043,0x76c487f042dbb620eaf3c75fb71276813bae2e29,0xfe964af2673195b1a849a44d09df9313762a1f93,46.43,67,99974,0.0067,token transfer,success,Friday,11,902,EOA,EOA
44,2023-01-16T02:58:17Z,10000282,0x97c214d3159e61ed95b309cd6cd0e37df0cb3e62,0xb6d5d734894b1ab491758f489f71a64c5e8d87aa,31.38,91,97663,0.0089,contract creation,success,Monday,2,633,EOA,EOA
45,2023-04-07T08:21:56Z,10000071,0xd26c905f6b86df9c86e966e406863dcae8603db1,0x98feda4f95bd9680143b85c24156a108055bdaa0,82.19,68,82408,0.0056,transfer,success,Friday,8,676,EOA,EOA
46,2023-09-26T03:11:58Z,10000490,0x89326f57912d848dde7804989608b1477a348fa8,0xb98b100b8bb9842defae2ba0a788581ab5d0d418,79.15,123,34086,0.0042,transfer,success,Tuesday,3,528,EOA,EOA
47,2023-04-19T13:32:54Z,10000158,0x4fe95d7a0dbc7952d2da826ea7fcc3b33147635b,0xdc07aa2e4c727e962d518d9f16435ee7d263be64,84.61,34,59129,0.002,token transfer,failure,Wednesday,13,984,EOA,EOA
48,2023-11-02T02:51:48Z,10000203,0xb3a9081faf8ccf3390b62c2b7255a790efa01d0b,0x17c81bf93199332b4c5582869cf0e117c77e0242,35.74,158,57801,0.0091,contract creation,success,Thursday,2,60,EOA,EOA
49,2023-06-12T05:39:19Z,10000101,0x5c32db12bd0798863c08bfa23cbcdba3d9fb7e5e,0xe9e13c16cd375c957bcbea81253c40f4dc0e91ee,11.9,49,47414,0.0023,contract creation,success,Monday,5,404,EOA,EOA
50,2023-10-05T21:00:51Z,10000131,0x60f22965a5acefe240423de4961fa3b5a5658703,0x0fe1f3008c77c3cb502ef08f0eb80d8341b10f11,26.52,44,81266,0.0036,token transfer,success,Thursday,21,995,EOA,EOA
51,2023-09-18T00:05:22Z,10000470,0x7ceb37216bdf69d9741830b9f188cd9574229b85,0x450d00aaabfbf767ace512d40350974f9a260813,44.45,63,29195,0.0018,transfer,success,Monday,0,594,EOA,EOA
52,2023-08-06T19:34:57Z,10000168,0xcaacdc3c0251d72bd42123bfeecb66b81a8ba761,0xdd795c1abc2c86076195bd4c3c411da3c3143d06,97.31,117,44903,0.0053,contract creation,success,Sunday,19,802,EOA,EOA
53,2023-02-06T00:01:28Z,10000269,0x26fcc6cb7959aeb1c73e05549b943f27d33f2641,0x186aa1600b61822bfdcbda4c014e388b9dff6d2d,58.8,161,68512,0.011,contract creation,success,Monday,0,994,EOA,EOA
54,2023-07-27T11:10:04Z,10000477,0xc692413c16a678ac87a6cc502f56d1fbba69ab29,0x6471dd7767dbc565e4ec921819d5851adfddac19,52.9,26,71788,0.0019,token transfer,success,Thursday,11,103,EOA,EOA
55,2023-03-27T16:58:17Z,10000446,0x1ed19c1afd526419aea5bbc256b792a5844a946f,0xee5b8c0b1c1615baf7550175c6c7de88d761bea0,82.58,161,24212,0.0039,transfer,success,Monday,16,362,Contract,EOA
56,2023-12-19T03:12:09Z,10000311,0x5ae2cd7891d07b0c90a8649f98641949480a719e,0xac99a1f30b3a1e811a838af36de66b37a6b36ad9,75.52,148,91084,0.0135,transfer,success,Tuesday,3,412,EOA,EOA
57,2023-01-15T12:53:32Z,10000416,0xc7986e2fb4f1e6047d48c896959f2637154cfe88,0x1d1d0150840dc54742099a1fbb7c6de9750894a5,30.57,198,34887,0.0069,transfer,success,Sunday,12,36,EOA,EOA
58,2023-07-29T04:57:37Z,10000148,0x9bf724d8ae4834f0422f604818478205d9775437,0x93c2ee8c833021a1c57e56db64d46cd874183d84,69.11,59,48570,0.0029,contract creation,success,Saturday,4,749,EOA,EOA
59,2023-08-19T14:11:30Z,10000155,0x7386e16b0fd00398481617b07bf5b7c3fbb07ac3,0xa3366d9ba8818b9f964275e1a1d7e675e5319295,18.75,138,26381,0.0036,contract creation,success,Saturday,14,220,EOA,EOA
60,2023-02-02T21:35:02Z,10000305,0x964e94cbb286ddefd8c0ec6623de72d26ed8ea43,0x6a2d3d7800c61b4339f03db8b0587c693373492b,97.28,120,74778,0.009,transfer,success,Thursday,21,306,EOA,EOA
61,2023-09-07T14:24:55Z,10000377,0xea2e011b89ccfee3f60bef94a4ed811b552db041,0x985a8580f8275fb84d2092dbc28ff553e4771c0a,74.79,50,44257,0.0022,token transfer,success,Thursday,14,591,EOA,EOA
62,2023-02-07T20:45:17Z,10000203,0xa3eeb59af2d9ecf6e6cf1ba5ba7011497eb11137,0xa918d7162cdd038602b327b4007437e6a391d849,93.42,134,27298,0.0037,token transfer,success,Tuesday,20,543,EOA,EOA
63,2023-06-27T04:50:25Z,10000358,0x20953b9ecc534732106bca806a05bebaf25a3946,0xf1e2746802c455e98833ec052b782ce35019084d,54.26,106,35336,0.0037,transfer,success,Tuesday,4,466,EOA,EOA
64,2023-02-28T21:57:34Z,10000016,0xd2cbcea94d2ee8dd933a4e2dae7b05c7967b5551,0x67f6dca6c8b45545572abf81935811f5bedf76a7,19.29,152,88279,0.0134,contract creation,success,Tuesday,21,967,EOA,EOA
65,2023-11-02T18:29:41Z,10000069,0xc97906e2da1df6017aa20bebffc90088199ccca6,0xd9da1f87c937cad7baa097a9a36e8a0f1ef68114,95.5,139,34005,0.0047,token transfer,success,Thursday,18,398,EOA,Contract
66,2023-03-15T07:02:38Z,10000282,0xfa80577c69a267ef192fcd592d8f8dfe79763bb5,0xb58570a8ab5661d0d51e075452c5e7c7f45632eb,13.92,70,42819,0.003,token transfer,success,Wednesday,7,213,EOA,EOA
67,2023-06-03T10:56:20Z,10000450,0xeaf66316007816855bb83ee8d44d67f1f9c92eaa,0xb020cb8c3b9908f47d1e74234528c65818177950,5.7,67,70376,0.0047,contract creation,success,Saturday,10,254,Contract,EOA
68,2023-02-22T18:00:17Z,10000273,0x7c006aa48c08c8993ec6281865e639355dd5f5ba,0x382da5ff3af81ddf22581baedb50592fd8e6fc23,28.69,119,91407,0.0109,transfer,success,Wednesday,18,836,EOA,EOA
69,2023-03-03T04:16:06Z,10000493,0xffc42ab0bbc81f5e47f4f7f67a0e0ea7cd2f4fa9,0x965cfd9e3fc6be72d637132365cd3536ede8f44f,75.8,25,73816,0.0018,token transfer,success,Friday,4,473,EOA,EOA
70,2023-04-25T00:02:30Z,10000174,0x62d9b807638be98f404156ee1b7bff0e10bed837,0x93f96ae9b35f5484de1a7f10b79f96cf3e527d98,94.76,174,49679,0.0086,contract creation,success,Tuesday,0,703,EOA,EOA
71,2023-06-23T08:50:43Z,10000053,0xe3aa388657035876030f335a8be86a530aeac4dd,0x19464c0be8396945dc96f1f4e5253a8041dc01c9,79.18,162,43955,0.0071,transfer,success,Friday,8,861,EOA,EOA
72,2023-07-08T18:39:48Z,10000398,0x520e80d156f3a0868561651c52e6994dec1a2a68,0x909b0dd8c8ebe8862cda7dddebefd41d1baae871,30.63,24,21020,0.0005,token transfer,success,Saturday,18,682,EOA,EOA
73,2023-12-12T19:17:14Z,10000173,0xf6bbea183eb15eea7ed0446176fc9f1f5330308a,0x82219ea304b78be2cf6fe6a1b18adbf3917dcf21,46.34,151,54622,0.0082,transfer,failure,Tuesday,19,76,EOA,EOA
74,2023-04-01T01:04:07Z,10000399,0x20fcc721a44c56c10fb194d9e6ae15d39cbd1290,0x9410c4e76f6ff02aba6eceae9a17b812e4a66bc7,47.98,118,24783,0.0029,transfer,success,Saturday,1,866,EOA,EOA
75,2023-03-23T08:52:50Z,10000221,0x31148eddf22585cda35499b6c3fcedffbc2efb4d,0x5f3733cb26d227ef88e44c1f5b823691daed87ec,24.16,189,29433,0.0056,contract creation,success,Thursday,8,849,EOA,EOA
76,2023-01-06T18:21:32Z,10000163,0xe464384b244cb16a3c5627656d691b80b288c5f0,0x6b1c93a9879380c15b023b8e2ab39e2b128b8044,48.16,30,93396,0.0028,transfer,success,Friday,18,694,EOA,Contract
77,2023-11-06T08:16:46Z,10000292,0x46cebd5ea806fda1e84bc8dbf67d146ccecacb67,0xa35cdd5352453250d16a7d596b8766d566d3446b,17.01,184,55971,0.0103,token transfer,success,Monday,8,357,EOA,EOA
78,2023-11-02T03:01:43Z,10000397,0x230b0facf8e724aaf687523b8a2559724d16a016,0xfe93d4a244b76082d8d9b429ed6dcaa0ac05f822,62.75,33,34395,0.0011,contract creation,success,Thursday,3,701,EOA,EOA
79,2023-11-20T19:29:14Z,10000059,0x27559e9030a475e526fb58240f0c614774df2d20,0x61ad8912f53fe1603e44a9c7a7fea5337831f344,92.03,63,68843,0.0043,token transfer,failure,Monday,19,635,EOA,EOA
80,2023-03-22T10:38:08Z,10000011,0x775dc4d37b6864407b22dc6e9c185eaae96801be,0xc22bc6680584d4844788b1ef717ae0d205bac548,6.72,97,93248,0.009,token transfer,success,Wednesday,10,821,EOA,EOA
81,2023-09-18T00:33:53Z,10000116,0xb56fb86dfe85de2e152885125ffa3e68d8527ae6,0x4dc12d6a0934927843f7b7d56f6f7343edcbd3fe,10.41,133,66630,0.0089,contract creation,success,Monday,0,272,EOA,EOA
82,2023-05-09T23:01:07Z,10000471,0x6d63be77fcf8d0638a04e4c41ddea67532f340bc,0x405dfcdf6f1d287986b940cb0a59c6c8c2987ab8,27.46,135,25227,0.0034,contract creation,failure,Tuesday,23,818,EOA,EOA
83,2023-10-04T08:31:00Z,10000118,0xe6263f1ad5e1870d120db32f6ca406af2efd22c7,0x4e49b85b5dcb968d3f105b7826ac68bb530156d8,50.67,87,60309,0.0052,token transfer,success,Wednesday,8,829,EOA,EOA
84,2023-04-12T09:43:25Z,10000122,0x2d13347266efd931cc922eabe91b5cb55953ff51,0x6429b208ce99db10cfe4648bd122d65ab9bb2b9a,50.21,31,83765,0.0026,token transfer,success,Wednesday,9,690,EOA,EOA
85,2023-06-21T08:12:01Z,10000342,0xac1914b8420a39633b1573575338df6b13c7a5b3,0xb0ed5bb19737cc97ea1a92a56c945bbfff5600bc,51.72,106,54405,0.0058,token transfer,success,Wednesday,8,701,EOA,EOA
86,2023-09-22T05:58:02Z,10000133,0x0f7435b9fe0e0e2dcd8cf4d81d5e0f8371805294,0x414e81f135afe542eb4da698b172856ca246603d,63.51,176,91715,0.0161,token transfer,success,Friday,5,264,EOA,EOA
87,2023-04-30T05:43:37Z,10000143,0xe4f14c325bde0b69839aedbfb943fa7d910b074a,0xe9c302c1b15dd852ad2f3b4d380de6daf47257b2,59.52,181,88002,0.0159,token transfer,success,Sunday,5,788,EOA,EOA
88,2023-07-06T19:20:34Z,10000098,0x94a8f3b9e16a81c50da83bd734e0c2d37280ce80,0xe2966b0e9fb9d5c074cc7f1944b1525bfe7bdab6,37.3,126,26680,0.0034,token transfer,success,Thursday,19,134,EOA,EOA
89,2023-04-05T15:11:03Z,10000301,0xb96338e6008e00ec09ff8e08cdfe819c0227f22c,0x4954242371d2fe8d25a1d151906f1a87fd52fc6b,9.11,124,73525,0.0091,transfer,success,Wednesday,15,8,EOA,EOA
90,2023-12-04T05:36:23Z,10000113,0xf569fa98dfd96a5adf7ff75b59faab19640831d3,0x90d810001da02d7709ddfe8549e528a466235783,55.79,97,31113,0.003,token transfer,failure,Monday,5,416,EOA,EOA
91,2023-09-30T22:06:30Z,10000313,0x8751e0d4d462e867e653c696c05ee266d412a3f2,0x5173ac75b5efcf22f92d43257f307538e43066e4,23.08,85,27882,0.0024,token transfer,success,Saturday,22,423,EOA,EOA
92,2023-02-04T06:27:09Z,10000466,0xe22269b6616e9c647ce68aec57a1552ce0adaf42,0x89b7ab22ca93fa47d30ec6cb43ec2dc52bdac8cc,49.02,44,21616,0.001,token transfer,success,Saturday,6,799,EOA,Contract
93,2023-06-12T12:12:55Z,10000159,0x7355790e864fdc69f3258d1383b76ae55e0a4d29,0x068fcefba67e8c18e30085529469bf8b776466f0,39.14,180,83451,0.015,contract creation,success,Monday,12,894,EOA,EOA
94,2023-01-10T05:13:42Z,10000332,0x42215eafbab53596a5d84f77847b7692d6a8a3c4,0x9baf50ca925a0738619a21866d0391e9582b221a,94.81,126,62309,0.0079,token transfer,success,Tuesday,5,652,EOA,EOA
95,2023-12-20T00:17:00Z,10000330,0x46860609d265615d1029f8fc38cab60706f3d4cd,0x120e60d93f23239b197f2f04aed3a0071193ec38,70.18,149,82352,0.0123,contract creation,success,Wednesday,0,989,EOA,EOA
96,2023-04-29T06:14:59Z,10000280,0x58c3d3c4f20f91e0a8c4c89a0a25017a2191ed11,0x7304fe78c755d5495a6db2b68036cfa9781b91f0,74.65,194,26469,0.0051,transfer,success,Saturday,6,432,EOA,EOA
97,2023-01-07T08:26:15Z,10000060,0xdedbe2037920f3d128b1b7c19245aa392b8352b9,0x59a132020a5abb1e86ec2010ab7dd49b802357ab,59.97,142,61853,0.0088,token transfer,success,Saturday,8,415,EOA,EOA
98,2023-08-16T14:51:28Z,10000456,0x5b3ff1bf874922c7ef427671ceca6853966e06a5,0x98fd970d62108bef6806c129d1877bdacd1da1f9,99,51,30240,0.0015,contract creation,success,Wednesday,14,220,EOA,EOA
99,2023-12-21T20:28:34Z,10000057,0x1a315124d40bd56fd12bc4d4749e75c1a717bcc1,0xb8e210f856a475bfa4ffc00c61a1b20291e5c67d,52.87,64,48201,0.0031,token transfer,success,Thursday,20,639,EOA,EOA
100,2023-01-12T00:38:47Z,10000209,0xcf44b7823a4010733c361daae2ffb46374678b20,0x289ef78392f34438bc09cbcdf784226b78fd6662,87.51,52,83106,0.0043,transfer,success,Thursday,0,732,EOA,EOA
101,2023-02-07T22:31:22Z,10000255,0x2ec52449487f16b2ea41300878ff8c405031863c,0x478400d9b1c8224c2a1a16c1aab88b2fd1bb3bd1,76.28,27,22993,0.0006,contract creation,success,Tuesday,22,705,EOA,EOA
102,2023-07-22T07:19:15Z,10000183,0x30270c2fd2b977c5e05c2ee08043b14f385bbea2,0x5bc49b9c39625aeda3a4ad44ba771082a2cca8dc,7.13,160,86939,0.0139,transfer,success,Saturday,7,208,EOA,EOA
103,2023-06-12T12:10:18Z,10000291,0xfe4094b253f8d8271a2ec9d737135c40c075ee98,0x30cc923b48fb15eda18dec7dace554afed983206,12.79,141,91737,0.0129,transfer,success,Monday,12,644,EOA,EOA
104,2023-04-01T13:15:58Z,10000365,0x30fcf21f3a4a3b0a159f4b46ea89cefea1e15bf5,0xf3d458fe8f30b2030eac51fb93e32a391eaec35d,19.72,174,48207,0.0084,transfer,success,Saturday,13,25,Contract,EOA
105,2023-06-07T07:31:48Z,10000065,0x1c9000dd6e24f114489b7c86649ab297c0bf59f9,0x8e2178b53b0ea484f345b70fb6bd5020ea51bb5d,99.12,187,84649,0.0158,transfer,success,Wednesday,7,719,EOA,EOA
106,2023-10-23T01:59:03Z,10000367,0x960a29016c86b579d1a05a80990a0470924ac09b,0xcb633dbc62d93adef4f0b392cd9650de34c54311,97.45,144,82568,0.0119,contract creation,success,Monday,1,386,EOA,EOA
107,2023-08-19T07:30:08Z,10000471,0x12e13b569387226e2e057eecca50d6d132b1c7f6,0x9d82d587281e1f69bfd94e8973481fa2f556726b,58.28,26,87997,0.0023,transfer,success,Saturday,7,168,EOA,EOA
108,2023-10-03T06:39:58Z,10000249,0x9d152849f62f9cdc457af81a1694331ab22b58f6,0x8d5f5e46f2963c08e1caa0e8088debf5d426c323,29.22,52,59633,0.0031,transfer,success,Tuesday,6,501,EOA,EOA
109,2023-02-10T22:03:53Z,10000457,0x3bffad7e23a6166b3fbba76142fba52f3d0a4a29,0x18508e72bc284d794164e65362c19826712ae77f,93.63,116,48544,0.0056,token transfer,success,Friday,22,368,EOA,EOA
110,2023-03-01T11:51:22Z,10000014,0xa3688af619f0d3a87b1c63eb763ba788ceb2b968,0xcb52e48aaf353933f3b6d70bea63c0b649fb8301,79.61,62,59311,0.0037,contract creation,success,Wednesday,11,31,EOA,EOA
111,2023-03-02T18:45:36Z,10000140,0xc2533e32308b123f9607cfa92db4884de3107577,0x94106f4e4ebb5230288cfeaa1c4e33b1aebd1a01,27.12,23,27504,0.0006,token transfer,success,Thursday,18,533,EOA,EOA
112,2023-10-20T09:59:03Z,10000449,0x36a8853ecd15952d8dbeaae3b864fbd956cbb1cb,0xce5024bab2e727d132e1506eb9e53ef09f278e34,60.05,149,61744,0.0092,transfer,success,Friday,9,998,EOA,EOA
113,2023-12-09T07:38:47Z,10000042,0xdd5d8a13dc70d52d30e17ee1219defbfb79ab30d,0xdd850da03cbe8a7fb86f974b34b6e99d96efd2f4,15.36,134,46107,0.0062,contract creation,success,Saturday,7,858,EOA,EOA
114,2023-11-30T05:41:23Z,10000455,0x95e089a20d9656431d4ffd938a719b4d7f619c34,0x20f5a19e81b62259e185167a684eb69644299414,2.27,159,80038,0.0127,contract creation,success,Thursday,5,902,EOA,EOA
115,2023-01-26T15:25:55Z,10000044,0x9d97cceab3e14fd88c787a1d7d1b33150996c9b7,0x6efe4c366cc9ce2f6ca7caa533628e6956a1b91c,84.35,130,58738,0.0076,contract creation,success,Thursday,15,12,EOA,EOA
116,2023-04-22T10:07:22Z,10000274,0x35100627620f719508abaed835362b87ae80207b,0xf85685adfc7c0f526cfe3d0400c8e8407cbec981,16.15,132,33375,0.0044,token transfer,success,Saturday,10,668,Contract,EOA
117,2023-01-31T16:20:19Z,10000394,0xb29c61eafbccf067f97cc6d834c0300a2c79815a,0x291499da6c805abeff659318cbf1867e428cd588,1.42,176,88683,0.0156,transfer,success,Tuesday,16,219,Contract,EOA
118,2023-05-31T20:17:18Z,10000304,0x1785ac0ccb2c5fa32ec841d098c66ee13b7b9de0,0x3b6cb00e4d0f0e54f90eec1d202a4d6c819d6172,81.16,138,39993,0.0055,transfer,success,Wednesday,20,195,EOA,EOA
